# time bound_circ lift drag moment
0.028579 0.017417 0.179866 0.000373 -0.032405
0.042869 0.018373 0.269615 0.000963 -0.068161
0.057159 0.021863 0.301238 0.001480 -0.092558
0.071449 0.024700 0.298843 0.001855 -0.086001
0.085738 0.027393 0.302165 0.002260 -0.084526
0.100028 0.029959 0.305653 0.002667 -0.083201
0.114318 0.032436 0.309587 0.003079 -0.082265
0.128607 0.034849 0.313801 0.003496 -0.081569
0.142897 0.037214 0.318217 0.003917 -0.081040
0.157187 0.039542 0.322783 0.004344 -0.080633
0.171477 0.041843 0.327462 0.004776 -0.080316
0.185766 0.044123 0.332232 0.005213 -0.080067
0.200056 0.046387 0.337073 0.005655 -0.079871
0.214346 0.048641 0.341975 0.006102 -0.079717
0.228635 0.050885 0.346927 0.006554 -0.079597
0.242925 0.053125 0.351923 0.007011 -0.079503
0.257215 0.055361 0.356955 0.007472 -0.079433
0.271504 0.057595 0.362021 0.007938 -0.079380
0.285794 0.059829 0.367117 0.008409 -0.079343
0.300084 0.062065 0.372239 0.008885 -0.079319
0.314374 0.064302 0.377386 0.009366 -0.079305
0.328663 0.066543 0.382555 0.009851 -0.079301
0.342953 0.068787 0.387744 0.010341 -0.079304
0.357243 0.071035 0.392953 0.010835 -0.079315
0.371532 0.073289 0.398180 0.011334 -0.079331
0.385822 0.075548 0.403424 0.011838 -0.079352
0.400112 0.077812 0.408684 0.012346 -0.079377
0.414402 0.080083 0.413959 0.012859 -0.079405
0.428691 0.082360 0.419249 0.013376 -0.079437
0.442981 0.084644 0.424554 0.013898 -0.079472
0.457271 0.086934 0.429872 0.014424 -0.079509
0.471560 0.089232 0.435203 0.014954 -0.079548
0.485850 0.091536 0.440546 0.015489 -0.079588
0.500140 0.093848 0.445902 0.016029 -0.079630
0.514430 0.096168 0.451270 0.016572 -0.079673
0.528719 0.098494 0.456649 0.017120 -0.079718
0.543009 0.100829 0.462040 0.017672 -0.079763
0.557299 0.103170 0.467441 0.018229 -0.079808
0.571588 0.105520 0.472853 0.018789 -0.079855
0.585878 0.107877 0.478275 0.019354 -0.079902
0.600168 0.110241 0.483708 0.019923 -0.079949
0.614458 0.112614 0.489150 0.020496 -0.079996
0.628747 0.114994 0.494602 0.021073 -0.080043
0.643037 0.117381 0.500064 0.021655 -0.080091
0.657327 0.119776 0.505534 0.022240 -0.080138
0.671616 0.122179 0.511014 0.022829 -0.080185
0.685906 0.124590 0.516502 0.023422 -0.080233
0.700196 0.127007 0.522000 0.024020 -0.080280
0.714485 0.129433 0.527506 0.024621 -0.080327
0.728775 0.131866 0.533020 0.025226 -0.080373
0.743065 0.134306 0.538542 0.025835 -0.080419
0.757355 0.136754 0.544073 0.026447 -0.080465
0.771644 0.139209 0.549611 0.027064 -0.080511
0.785934 0.141671 0.555158 0.027684 -0.080556
0.800224 0.144141 0.560712 0.028308 -0.080601
0.814513 0.146617 0.566274 0.028936 -0.080645
0.828803 0.149101 0.571843 0.029568 -0.080689
0.843093 0.151592 0.577420 0.030203 -0.080733
0.857383 0.154090 0.583004 0.030842 -0.080776
0.871672 0.156595 0.588594 0.031484 -0.080819
0.885962 0.159107 0.594192 0.032131 -0.080861
0.900252 0.161626 0.599797 0.032780 -0.080902
0.914541 0.164151 0.605409 0.033434 -0.080944
0.928831 0.166684 0.611027 0.034090 -0.080984
0.943121 0.169223 0.616652 0.034751 -0.081024
0.957411 0.171768 0.622283 0.035414 -0.081064
0.971700 0.174321 0.627920 0.036081 -0.081103
0.985990 0.176879 0.633564 0.036752 -0.081142
1.000280 0.179444 0.639214 0.037426 -0.081180
1.014569 0.182016 0.644870 0.038103 -0.081217
1.028859 0.184594 0.650532 0.038784 -0.081254
1.043149 0.187178 0.656200 0.039468 -0.081291
1.057439 0.189768 0.661874 0.040155 -0.081327
1.071728 0.192365 0.667553 0.040846 -0.081362
1.086018 0.194967 0.673238 0.041540 -0.081397
1.100308 0.197576 0.678928 0.042236 -0.081431
1.114597 0.200191 0.684624 0.042937 -0.081465
1.128887 0.202811 0.690325 0.043640 -0.081498
1.143177 0.205437 0.696031 0.044346 -0.081531
1.157466 0.208070 0.701742 0.045056 -0.081563
1.171756 0.210708 0.707459 0.045768 -0.081595
1.186046 0.213351 0.713180 0.046484 -0.081626
1.200336 0.216000 0.718907 0.047203 -0.081656
1.214625 0.218655 0.724638 0.047924 -0.081686
1.228915 0.221315 0.730374 0.048649 -0.081716
1.243205 0.223981 0.736114 0.049377 -0.081745
1.257494 0.226652 0.741860 0.050107 -0.081773
1.271784 0.229328 0.747609 0.050841 -0.081801
1.286074 0.232010 0.753363 0.051577 -0.081829
1.300364 0.234697 0.759122 0.052316 -0.081856
1.314653 0.237389 0.764884 0.053058 -0.081882
1.328943 0.240086 0.770651 0.053803 -0.081908
1.343233 0.242789 0.776422 0.054551 -0.081934
1.357522 0.245496 0.782197 0.055301 -0.081959
1.371812 0.248208 0.787976 0.056054 -0.081983
1.386102 0.250925 0.793758 0.056810 -0.082007
1.400392 0.253647 0.799545 0.057568 -0.082031
1.414681 0.256374 0.805335 0.058329 -0.082054
1.428971 0.259106 0.811129 0.059093 -0.082076
1.443261 0.261842 0.816927 0.059859 -0.082098
1.457550 0.264583 0.822728 0.060628 -0.082120
1.471840 0.267328 0.828532 0.061399 -0.082141
1.486130 0.270078 0.834340 0.062173 -0.082161
1.500420 0.272833 0.840151 0.062950 -0.082181
1.514709 0.275592 0.845965 0.063729 -0.082201
1.528999 0.278355 0.851782 0.064510 -0.082220
1.543289 0.281122 0.857603 0.065294 -0.082239
1.557578 0.283894 0.863426 0.066080 -0.082257
1.571868 0.286671 0.869253 0.066868 -0.082275
1.586158 0.289451 0.875082 0.067659 -0.082292
1.600447 0.292235 0.880914 0.068453 -0.082309
1.614737 0.295024 0.886749 0.069248 -0.082325
1.629027 0.297817 0.892586 0.070046 -0.082341
1.643317 0.300613 0.898426 0.070846 -0.082357
1.657606 0.303414 0.904269 0.071648 -0.082372
1.671896 0.306218 0.910114 0.072453 -0.082386
1.686186 0.309027 0.915961 0.073260 -0.082400
1.700475 0.311839 0.921811 0.074069 -0.082414
1.714765 0.314655 0.927663 0.074880 -0.082427
1.729055 0.317475 0.933518 0.075693 -0.082440
1.743345 0.320298 0.939374 0.076508 -0.082453
1.757634 0.323125 0.945233 0.077325 -0.082465
1.771924 0.325956 0.951093 0.078145 -0.082476
1.786214 0.328790 0.956956 0.078966 -0.082487
1.800503 0.331628 0.962820 0.079789 -0.082498
1.814793 0.334469 0.968687 0.080615 -0.082508
1.829083 0.337313 0.974555 0.081442 -0.082518
1.843373 0.340161 0.980425 0.082271 -0.082528
1.857662 0.343013 0.986296 0.083102 -0.082537
1.871952 0.345867 0.992170 0.083935 -0.082545
1.886242 0.348725 0.998044 0.084770 -0.082553
1.900531 0.351586 1.003921 0.085607 -0.082561
1.914821 0.354451 1.009798 0.086445 -0.082569
1.929111 0.357318 1.015678 0.087285 -0.082576
1.943401 0.360189 1.021558 0.088127 -0.082582
1.957690 0.363062 1.027440 0.088971 -0.082588
1.971980 0.365939 1.033323 0.089817 -0.082594
1.986270 0.368818 1.039207 0.090664 -0.082600
2.000559 0.371701 1.045092 0.091513 -0.082605
2.014849 0.374586 1.050978 0.092363 -0.082609
2.029139 0.377475 1.056866 0.093215 -0.082614
2.043428 0.380366 1.062754 0.094069 -0.082618
2.057718 0.383260 1.068643 0.094924 -0.082621
2.072008 0.386156 1.074533 0.095781 -0.082624
2.086298 0.389056 1.080424 0.096640 -0.082627
2.100587 0.391958 1.086315 0.097499 -0.082629
2.114877 0.394862 1.092208 0.098361 -0.082631
2.129167 0.397770 1.098101 0.099224 -0.082633
2.143456 0.400679 1.103994 0.100088 -0.082634
2.157746 0.403592 1.109888 0.100954 -0.082635
2.172036 0.406507 1.115783 0.101821 -0.082636
2.186326 0.409424 1.121677 0.102690 -0.082636
2.200615 0.412344 1.127573 0.103559 -0.082636
2.214905 0.415266 1.133468 0.104431 -0.082635
2.229195 0.418190 1.139364 0.105303 -0.082634
2.243484 0.421117 1.145260 0.106177 -0.082633
2.257774 0.424046 1.151157 0.107052 -0.082631
2.272064 0.426978 1.157053 0.107929 -0.082629
2.286354 0.429911 1.162950 0.108806 -0.082627
2.300643 0.432847 1.168847 0.109685 -0.082624
2.314933 0.435785 1.174743 0.110565 -0.082621
2.329223 0.438725 1.180640 0.111446 -0.082618
2.343512 0.441667 1.186536 0.112328 -0.082614
2.357802 0.444611 1.192433 0.113212 -0.082610
2.372092 0.447557 1.198329 0.114096 -0.082606
2.386382 0.450506 1.204225 0.114982 -0.082601
2.400671 0.453456 1.210120 0.115868 -0.082596
2.414961 0.456408 1.216015 0.116756 -0.082590
2.429251 0.459362 1.221910 0.117645 -0.082585
2.443540 0.462317 1.227805 0.118534 -0.082579
2.457830 0.465275 1.233699 0.119425 -0.082572
2.472120 0.468234 1.239592 0.120317 -0.082565
2.486409 0.471196 1.245485 0.121209 -0.082558
2.500699 0.474159 1.251378 0.122103 -0.082551
2.514989 0.477123 1.257269 0.122997 -0.082543
2.529279 0.480089 1.263160 0.123892 -0.082535
2.543568 0.483057 1.269051 0.124788 -0.082527
2.557858 0.486027 1.274940 0.125685 -0.082518
2.572148 0.488998 1.280829 0.126583 -0.082509
2.586437 0.491971 1.286717 0.127481 -0.082500
2.600727 0.494945 1.292604 0.128380 -0.082490
2.615017 0.497920 1.298490 0.129280 -0.082480
2.629307 0.500898 1.304375 0.130181 -0.082470
2.643596 0.503876 1.310259 0.131082 -0.082459
2.657886 0.506856 1.316142 0.131984 -0.082448
2.672176 0.509838 1.322023 0.132887 -0.082437
2.686465 0.512820 1.327904 0.133790 -0.082426
2.700755 0.515804 1.333784 0.134694 -0.082414
2.715045 0.518790 1.339662 0.135599 -0.082401
2.729335 0.521776 1.345539 0.136504 -0.082389
2.743624 0.524764 1.351415 0.137409 -0.082376
2.757914 0.527753 1.357289 0.138316 -0.082363
2.772204 0.530743 1.363162 0.139222 -0.082350
2.786493 0.533735 1.369034 0.140130 -0.082336
2.800783 0.536727 1.374904 0.141037 -0.082322
2.815073 0.539721 1.380773 0.141945 -0.082308
2.829362 0.542715 1.386640 0.142854 -0.082293
2.843652 0.545711 1.392505 0.143763 -0.082278
2.857942 0.548708 1.398369 0.144673 -0.082263
2.872232 0.551705 1.404232 0.145582 -0.082248
2.886521 0.554704 1.410092 0.146493 -0.082232
2.900811 0.557704 1.415951 0.147403 -0.082216
2.915101 0.560704 1.421808 0.148314 -0.082200
2.929390 0.563706 1.427664 0.149225 -0.082183
2.943680 0.566708 1.433517 0.150137 -0.082166
2.957970 0.569711 1.439369 0.151048 -0.082149
2.972260 0.572715 1.445219 0.151960 -0.082131
2.986549 0.575720 1.451067 0.152872 -0.082113
3.000839 0.578725 1.456912 0.153785 -0.082095
3.015129 0.581731 1.462756 0.154697 -0.082077
3.029418 0.584255 1.467403 0.156164 -0.082254
3.043708 0.585616 1.468455 0.158242 -0.080394
3.057998 0.586058 1.468704 0.160106 -0.073449
3.072288 0.585620 1.469262 0.162055 -0.066854
3.086577 0.584400 1.469835 0.164009 -0.060828
3.100867 0.582468 1.470511 0.165992 -0.055151
3.115157 0.579868 1.471309 0.168011 -0.049719
3.129446 0.576628 1.472224 0.170064 -0.044484
3.143736 0.572771 1.473246 0.172149 -0.039426
3.158026 0.568317 1.474372 0.174266 -0.034531
3.172316 0.563284 1.475601 0.176414 -0.029792
3.186605 0.557692 1.476936 0.178595 -0.025198
3.200895 0.551559 1.478379 0.180810 -0.020745
3.215185 0.544900 1.479933 0.183060 -0.016425
3.229474 0.537733 1.481599 0.185345 -0.012235
3.243764 0.530074 1.483373 0.187666 -0.008172
3.258054 0.521937 1.485254 0.190022 -0.004231
3.272343 0.513339 1.487249 0.192416 -0.000412
3.286633 0.504293 1.489385 0.194856 0.003285
3.300923 0.494813 1.491672 0.197345 0.006858
3.315213 0.484914 1.494066 0.199872 0.010316
3.329502 0.474610 1.496518 0.202421 0.013666
3.343792 0.463915 1.499096 0.205014 0.016899
3.358082 0.452841 1.501896 0.207679 0.019999
3.372371 0.441402 1.504796 0.210381 0.022987
3.386661 0.429610 1.507689 0.213088 0.025885
3.400951 0.417480 1.510807 0.215871 0.028647
3.415241 0.405022 1.514165 0.218733 0.031269
3.429530 0.392250 1.517436 0.221578 0.033825
3.443820 0.379176 1.520860 0.224478 0.036260
3.458110 0.365811 1.524654 0.227499 0.038519
3.472399 0.352167 1.528313 0.230489 0.040730
3.486689 0.338257 1.532067 0.233517 0.042837
3.500979 0.324091 1.536277 0.236696 0.044738
3.515269 0.309681 1.540312 0.239832 0.046608
3.529558 0.295037 1.544436 0.243005 0.048381
3.543848 0.280171 1.549001 0.246327 0.049941
3.558138 0.265093 1.553451 0.249625 0.051459
3.572427 0.249813 1.557973 0.252957 0.052895
3.586717 0.234341 1.562735 0.256376 0.054165
3.601007 0.218688 1.567806 0.259906 0.055264
3.615297 0.202863 1.572634 0.263372 0.056397
3.629586 0.186875 1.577361 0.266817 0.057461
3.643876 0.170735 1.583494 0.270727 0.057981
3.658166 0.154449 1.588325 0.274232 0.058925
3.672455 0.138028 1.592819 0.277641 0.059873
